index,fitness_score
26635,"[0.8698520660400391, 0.14139866828918457]"
35892,"[1.3695526123046875, 0.07001113891601562]"
34997,"[0.15753173828125, 0.3698561191558838]"
347,"[0.3174419403076172, 0.3558225631713867]"
33656,"[0.018962860107421875, 1.1549535989761353]"
19778,"[0.035125732421875, 0.42202281951904297]"
25221,"[1.0745086669921875, 0.3025362491607666]"
962,"[1.789144515991211, 0.20539116859436035]"
278,"[0.026468276977539062, 1.512380838394165]"
39077,"[0.04448699951171875, 0.4538435935974121]"
13019,"[0.2846050262451172, 0.4657764434814453]"
14205,"[0.18378067016601562, 1.0916810035705566]"
37140,"[0.2738494873046875, 1.0770413875579834]"
