index,fitness_score
34997,"[0.15753173828125, 0.3698561191558838]"
19778,"[0.035125732421875, 0.42202281951904297]"
39077,"[0.04448699951171875, 0.4538438320159912]"
347,"[0.3174419403076172, 0.3558225631713867]"
13019,"[0.2846050262451172, 0.4657759666442871]"
34764,"[0.3201789855957031, 0.8118622303009033]"
26635,"[0.8698520660400391, 0.14139795303344727]"
22610,"[0.5596084594726562, 0.6837406158447266]"
3767,"[0.5546207427978516, 0.9379769563674927]"
14205,"[0.18378067016601562, 1.0916810035705566]"
37140,"[0.2738494873046875, 1.0770413875579834]"
25221,"[1.0745086669921875, 0.3025362491607666]"
38241,"[0.9637966156005859, 0.627690315246582]"
33656,"[0.018962860107421875, 1.1549534797668457]"
17542,"[0.7574253082275391, 0.9740656614303589]"
5992,"[0.22696685791015625, 1.3112223148345947]"
9948,"[0.09562110900878906, 0.03284478187561035]"
12800,"[0.018831253051757812, 0.5127263069152832]"
10447,"[0.4336433410644531, 0.2934229373931885]"
13593,"[0.5049171447753906, 0.4952085018157959]"
26440,"[0.0334014892578125, 0.7376459836959839]"
31471,"[0.07538223266601562, 0.8266153335571289]"
6042,"[0.010904312133789062, 0.9230160713195801]"
39416,"[1.002859115600586, 0.12939167022705078]"
30373,"[1.0287952423095703, 0.3475193977355957]"
18844,"[1.0461788177490234, 0.3442873954772949]"
19718,"[1.060079574584961, 0.31954383850097656]"
4716,"[1.0221424102783203, 0.4451866149902344]"
15259,"[0.6356658935546875, 0.934899091720581]"
12952,"[0.9273166656494141, 0.7832002639770508]"
19548,"[0.9511680603027344, 0.9157018661499023]"
22597,"[0.25650596618652344, 1.328539490699768]"
