index,fitness_score
6042,"[0.1173858642578125, 0.9230160713195801, 0.010904312133789062]"
19718,"[0.11289215087890625, 0.31954383850097656, 1.060079574584961]"
4716,"[0.00229644775390625, 0.4451866149902344, 1.0221424102783203]"
8737,"[0.94366455078125, 0.02989649772644043, 1.5339202880859375]"
19548,"[1.3039779663085938, 0.9157013893127441, 0.9511680603027344]"
9948,"[1.9129409790039062, 0.03284478187561035, 0.09562301635742188]"
30373,"[1.922515869140625, 0.3475193977355957, 1.0287952423095703]"
14711,"[0.213836669921875, 0.5167117118835449, 2.377927780151367]"
13933,"[0.6739959716796875, 1.728452205657959, 1.7740516662597656]"
33533,"[1.1872100830078125, 0.5489072799682617, 2.369976043701172]"
549,"[0.148895263671875, 0.04996991157531738, 2.8673229217529297]"
22768,"[2.23309326171875, 0.34621453285217285, 2.289155960083008]"
30235,"[1.8916015625, 0.18132472038269043, 2.6392383575439453]"
12222,"[0.8181304931640625, 2.5113039016723633, 1.9901657104492188]"
39776,"[0.969512939453125, 0.6794066429138184, 3.1333560943603516]"
20307,"[2.7799606323242188, 1.3593316078186035, 1.3595619201660156]"
