index,fitness_score
549,"[0.148895263671875, 0.04996967315673828]"
19718,"[0.11289215087890625, 0.31954407691955566]"
17391,"[0.31734466552734375, 0.18287968635559082]"
4716,"[0.002288818359375, 0.4451868534088135]"
14711,"[0.213836669921875, 0.5167114734649658]"
28911,"[0.01618194580078125, 0.6158418655395508]"
33437,"[0.44892120361328125, 0.5770742893218994]"
25121,"[0.5271682739257812, 0.6145322322845459]"
6042,"[0.1173858642578125, 0.923015832901001]"
8737,"[0.94366455078125, 0.02989649772644043]"
36577,"[0.10715484619140625, 1.1391750574111938]"
39776,"[0.969512939453125, 0.6794066429138184]"
18578,"[0.0385284423828125, 1.2720975875854492]"
33533,"[1.1872100830078125, 0.5489072799682617]"
12205,"[1.4276199340820312, 0.10352063179016113]"
6450,"[0.8720321655273438, 1.163343071937561]"
