index,fitness_score
1156,"[0.0004715919494628906, 0.06859087944030762]"
15532,"[0.05405378341674805, 2.1560463905334473]"
24207,"[0.056452274322509766, 1.8445326089859009]"
8825,"[0.05856513977050781, 1.8003511428833008]"
39776,"[0.07586336135864258, 0.6794068813323975]"
19458,"[0.08853006362915039, 0.9359476566314697]"
14827,"[0.09629058837890625, 0.9751946926116943]"
39794,"[0.1119694709777832, 0.15534234046936035]"
23145,"[0.16178035736083984, 0.9438953399658203]"
7004,"[0.16700172424316406, 1.09187650680542]"
38440,"[0.17949724197387695, 0.19260120391845703]"
22330,"[0.21845293045043945, 0.41793394088745117]"
2226,"[0.23299598693847656, 0.24327492713928223]"
29995,"[0.24351167678833008, 2.121843099594116]"
14711,"[0.2436203956604004, 0.516711950302124]"
1907,"[0.24523448944091797, 0.9567363262176514]"
