index,fitness_score
1156,"[0.0004715919494628906, 0.06859087944030762]"
39794,"[0.1119694709777832, 0.15534234046936035]"
38440,"[0.17949676513671875, 0.19260144233703613]"
2226,"[0.23299598693847656, 0.24327492713928223]"
18574,"[0.2930269241333008, 0.30030012130737305]"
22330,"[0.21845293045043945, 0.4179341793060303]"
14711,"[0.2436203956604004, 0.5167117118835449]"
27278,"[0.3991384506225586, 0.4535493850708008]"
6554,"[0.5971412658691406, 0.18731999397277832]"
4716,"[0.4507255554199219, 0.4451866149902344]"
31848,"[0.5231413841247559, 0.38466835021972656]"
17143,"[0.4401683807373047, 0.48412489891052246]"
39776,"[0.07586336135864258, 0.6794066429138184]"
3596,"[0.6732802391052246, 0.18013763427734375]"
37510,"[0.7357640266418457, 0.3203723430633545]"
35364,"[0.7960033416748047, 0.19256091117858887]"
