index,fitness_score
8825,"[0.1121053695678711, 0.05856513977050781]"
1156,"[0.15434694290161133, 0.0004715919494628906]"
14711,"[0.04607582092285156, 0.2436203956604004]"
29995,"[0.15777873992919922, 0.24351167678833008]"
14212,"[0.1451716423034668, 0.2591991424560547]"
17879,"[0.15371179580688477, 0.2572321891784668]"
1907,"[0.173614501953125, 0.24523448944091797]"
13933,"[0.1343369483947754, 0.29337072372436523]"
23145,"[0.29300498962402344, 0.16178035736083984]"
14827,"[0.33426475524902344, 0.09629058837890625]"
19458,"[0.33985424041748047, 0.08852958679199219]"
39776,"[0.3782806396484375, 0.07586336135864258]"
24207,"[0.38587045669555664, 0.056452274322509766]"
22597,"[0.30442333221435547, 0.26729679107666016]"
30342,"[0.024219036102294922, 0.44464635848999023]"
21451,"[0.1280050277709961, 0.4439859390258789]"
