index,fitness_score
39762,"[0.030434131622314453, 0.09543147683143616]"
13933,"[0.1343369483947754, 0.023460179567337036]"
17879,"[0.15371227264404297, 0.05759775638580322]"
1156,"[0.15434694290161133, 0.08884379267692566]"
29995,"[0.15777873992919922, 0.08825230598449707]"
8825,"[0.1121053695678711, 0.17430078983306885]"
1907,"[0.173614501953125, 0.22772279381752014]"
14711,"[0.04607582092285156, 0.2853200137615204]"
23145,"[0.29300498962402344, 0.14190955460071564]"
12679,"[0.3295755386352539, 0.010376781225204468]"
6042,"[0.2963247299194336, 0.18965710699558258]"
21174,"[0.21727848052978516, 0.2951931655406952]"
38150,"[0.28766822814941406, 0.24847429990768433]"
39480,"[0.3972010612487793, 0.04517588019371033]"
39776,"[0.3782806396484375, 0.13820965588092804]"
26196,"[0.4124608039855957, 0.06196138262748718]"
