index,fitness_score
1156,"[0.15434694290161133, 0.08884373307228088, 0.0004715919494628906]"
8825,"[0.1121053695678711, 0.17430081963539124, 0.05856513977050781]"
29995,"[0.15777873992919922, 0.08825233578681946, 0.24351167678833008]"
17879,"[0.15371227264404297, 0.05759778618812561, 0.2572321891784668]"
13933,"[0.1343369483947754, 0.02346014976501465, 0.29337072372436523]"
23145,"[0.29300498962402344, 0.1419096738100052, 0.16178035736083984]"
1907,"[0.173614501953125, 0.22772285342216492, 0.24523401260375977]"
14711,"[0.04607582092285156, 0.28531989455223083, 0.2436208724975586]"
39776,"[0.3782806396484375, 0.1382095068693161, 0.07586336135864258]"
39762,"[0.030434131622314453, 0.09543156623840332, 0.4616270065307617]"
19458,"[0.33985424041748047, 0.34329429268836975, 0.08853006362915039]"
12679,"[0.3295755386352539, 0.010376691818237305, 0.3733797073364258]"
22597,"[0.30442333221435547, 0.3316805362701416, 0.26729679107666016]"
24207,"[0.38587045669555664, 0.35152122378349304, 0.056452274322509766]"
39480,"[0.3972010612487793, 0.0451759397983551, 0.34520959854125977]"
14212,"[0.1451716423034668, 0.49181869626045227, 0.2591996192932129]"
