index,fitness_score
39762,"[0.030434131622314453, 0.09543153643608093, 0.8258614540100098]"
13933,"[0.1343369483947754, 0.023460209369659424, 1.7284526824951172]"
17879,"[0.15371227264404297, 0.057597726583480835, 1.2017154693603516]"
1156,"[0.15434694290161133, 0.08884376287460327, 0.06859064102172852]"
29995,"[0.15777873992919922, 0.08825245499610901, 2.1218435764312744]"
8825,"[0.1121053695678711, 0.17430078983306885, 1.800351619720459]"
1907,"[0.173614501953125, 0.22772285342216492, 0.956735372543335]"
14711,"[0.04607582092285156, 0.28531989455223083, 0.5167117118835449]"
23145,"[0.29300498962402344, 0.14190955460071564, 0.9438953399658203]"
12679,"[0.3295755386352539, 0.010376721620559692, 1.9800939559936523]"
6042,"[0.2963247299194336, 0.18965722620487213, 0.9230160713195801]"
21174,"[0.21727848052978516, 0.2951931655406952, 0.7165069580078125]"
38150,"[0.28766822814941406, 0.24847429990768433, 1.5171082019805908]"
39480,"[0.3972010612487793, 0.045176029205322266, 1.8045086860656738]"
39776,"[0.3782806396484375, 0.13820955157279968, 0.6794068813323975]"
26196,"[0.4124608039855957, 0.06196138262748718, 3.530618190765381]"
