index,fitness_score
23482,"[0.0002722740173339844, 0.20533394813537598, 4.5428924560546875]"
12222,"[0.005421161651611328, 2.5113041400909424, 0.8181304931640625]"
19718,"[0.007815361022949219, 0.31954383850097656, 0.11289215087890625]"
13773,"[0.009739398956298828, 0.9093592166900635, 1.6020050048828125]"
24620,"[0.0030999183654785156, 0.5561923980712891, 12.152702331542969]"
17071,"[0.012963294982910156, 2.109786033630371, 3.4357452392578125]"
28209,"[0.0120849609375, 0.7906649112701416, 6.3040618896484375]"
18844,"[0.015039443969726562, 0.344287633895874, 3.9457168579101562]"
26440,"[0.014411449432373047, 0.7376458644866943, 6.7465667724609375]"
38277,"[0.004911899566650391, 2.3945512771606445, 16.907302856445312]"
31848,"[0.019530296325683594, 0.38466835021972656, 4.55615234375]"
8164,"[0.020232200622558594, 1.6170978546142578, 2.4149627685546875]"
30342,"[0.024219036102294922, 1.2390074729919434, 1.5983200073242188]"
23874,"[0.026681900024414062, 0.901330828666687, 6.8226470947265625]"
39762,"[0.030434131622314453, 0.8258614540100098, 2.2764968872070312]"
39209,"[0.029568195343017578, 0.15764594078063965, 12.600093841552734]"
