index,fitness_score
1156,"[0.08884376287460327, 0.0004715919494628906]"
39776,"[0.13820968568325043, 0.07586336135864258]"
8825,"[0.17430078983306885, 0.05856513977050781]"
23145,"[0.1419096440076828, 0.16178035736083984]"
29995,"[0.08825230598449707, 0.24351167678833008]"
17879,"[0.05759775638580322, 0.2572321891784668]"
13933,"[0.023460179567337036, 0.29337072372436523]"
1907,"[0.22772273421287537, 0.24523401260375977]"
39480,"[0.04517596960067749, 0.34520959854125977]"
19458,"[0.34329429268836975, 0.08853006362915039]"
24207,"[0.3515213429927826, 0.056452274322509766]"
12679,"[0.01037675142288208, 0.3733797073364258]"
14711,"[0.28531989455223083, 0.2436203956604004]"
27278,"[0.05641719698905945, 0.3991384506225586]"
5231,"[0.3263791501522064, 0.25367307662963867]"
22597,"[0.331680566072464, 0.26729679107666016]"
