index,fitness_score
8058,"[0.010371744632720947, 0.44909143447875977]"
12679,"[0.010376811027526855, 1.9800939559936523]"
13933,"[0.023460209369659424, 1.7284526824951172]"
16025,"[0.03461769223213196, 2.986607074737549]"
39480,"[0.045175909996032715, 1.804508924484253]"
27278,"[0.05641713738441467, 0.4535491466522217]"
17879,"[0.057597726583480835, 1.2017149925231934]"
37181,"[0.05841979384422302, 0.5888857841491699]"
26196,"[0.06196138262748718, 3.530618190765381]"
29995,"[0.08825227618217468, 2.121843099594116]"
1156,"[0.08884382247924805, 0.06859087944030762]"
39762,"[0.09543159604072571, 0.8258614540100098]"
39776,"[0.13820959627628326, 0.6794068813323975]"
23145,"[0.141909658908844, 0.9438953399658203]"
16222,"[0.15188872814178467, 0.8249783515930176]"
8825,"[0.17430081963539124, 1.800351619720459]"
